,1,6,11,16,21,26,Scaler,CV Folds,Scoring Metric
0,0.8735182604825354,0.8719308132304128,0.8684337604176534,0.8720527170929279,0.8709985101694157,0.8719546434711339,"MinMaxScaler(copy=True, feature_range=(0, 1))",3,f1
0,0.9212935273534676,0.9218224544039977,0.9192971536083485,0.9184354832114148,0.9162351145127812,0.916140779146484,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,f1
0,0.9378476313967898,0.9372876315989979,0.9323350220836041,0.9334689196639407,0.9313951107916626,0.9308066886432602,"MinMaxScaler(copy=True, feature_range=(0, 1))",10,f1
0,0.9236182524199041,0.9123847073728395,0.9138897483895988,0.9109128911158887,0.9067965224524779,0.905862192899616,"StandardScaler(copy=True, with_mean=True, with_std=True)",5,f1
0,0.9200152849788221,0.9180468339382557,0.9171652243331614,0.9167470099240163,0.9160536683559632,0.9142567241241965,MaxAbsScaler(copy=True),5,f1
0,0.8876813684838675,0.8744708629089579,0.8653492028013862,0.8684520624416777,0.8666437087836079,0.8681359144983218,,5,f1
0,0.9236589930375267,0.9189936932672772,0.9144160588364676,0.9107227963184364,0.9086288090261145,0.9073821326415592,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)",5,f1
0,0.915047014205842,0.9175636178696204,0.9135753237458175,0.9142033755565357,0.91147162270902,0.9123086554043238,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,accuracy
0,0.8799945761214045,0.9406551387102569,0.9511652795885389,0.9573147153207293,0.9620136881612662,0.9651549609981762,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,average_precision
0,0.8972129031026841,0.9076760623885021,0.8978044132970794,0.9027419497265521,0.8956065474988062,0.8976387691666075,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,precision
0,0.9560215970446148,0.9447039878753433,0.9507994695462726,0.942962015724164,0.9464450127877239,0.9429648574405608,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,recall
0,0.9164505748237257,0.9590717821845622,0.9647389830208368,0.9683288003852294,0.9705335974383308,0.9718359902070516,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,roc_auc
0,0.9540802183582084,0.9541422758340694,0.9500969471636577,0.9502399129516841,0.9452910516864567,0.946506558388774,"MinMaxScaler(copy=True, feature_range=(0, 1))",20,f1
