,CV Folds,Comparison,Scaler,Scoring Metric,k:1,k:10,k:11,k:12,k:13,k:14,k:15,k:16,k:17,k:18,k:19,k:2,k:3,k:4,k:5,k:6,k:7,k:8,k:9
0,5,CSVs/AvB.csv,MinMaxScaler,f1,0.98890910088239,0.9861753667109048,0.9840532368425011,0.9849003079963369,0.9836487310267612,0.9842565980368476,0.983856426046682,0.9835990194116591,0.9830131599564014,0.9836352760431822,0.9817387397435013,0.9870304295999786,0.9891331817263673,0.9897403200176864,0.9881004949174196,0.9876201123387522,0.9874713197948793,0.9872199153356197,0.9851150227092887
1,5,CSVs/AvB.csv,StandardScaler,f1,0.9921708916393754,0.9844563323245985,0.9832043079472494,0.9840396109649179,0.9823594428213696,0.9836119205997127,0.9821518883836473,0.9827705699373169,0.9821687818326733,0.9823720881767646,0.9815352828255316,0.989218924080502,0.9917418362662938,0.9908374083580791,0.9889240821245059,0.9886714710806694,0.9872308870635604,0.986995109412965,0.9842438978252359
2,5,CSVs/AvB.csv,MaxAbsScaler,f1,0.9880069538673364,0.9863734715315937,0.9855465168804601,0.9863889511530776,0.984489421698056,0.9842469852988149,0.9847126943717169,0.9838102978511879,0.9840493237435751,0.9835966373984721,0.9840589857528513,0.9863571743580053,0.9882710850711925,0.9884166183454116,0.9865599433491212,0.9863051539724401,0.986810676445592,0.9872079325637866,0.9861760473307042
3,5,CSVs/AvB.csv,RobustScaler,f1,0.9943425129367295,0.9883474025693129,0.987939642124568,0.9879233764275938,0.9870917738431872,0.9881493021624724,0.9858179813338033,0.986656568231262,0.9853961492520721,0.9858120190947635,0.9852052409380253,0.994517560929561,0.9936881903598305,0.9930205497352764,0.9906843577454065,0.991966326495794,0.9907022382704416,0.991124976328264,0.9881330583549687
4,5,CSVs/AvB.csv,None,f1,0.9731296116304158,0.9608287887442865,0.9629194145767404,0.9612813704347101,0.9608029581978377,0.9598221772074151,0.9592772726704052,0.958203076621922,0.9578736751917158,0.9575711816652792,0.9568178268455794,0.9665977306656591,0.9621792879791693,0.962132388449807,0.9628418177547087,0.9586346427788985,0.9600372827473629,0.9607108226533514,0.9616214050172738
5,5,CSVs/AvB.csv,MinMaxScaler,accuracy,0.9800022841981209,0.9748965405254063,0.9709741954213664,0.9725435933180495,0.9701883408044705,0.9713678871446311,0.9705812711283615,0.9701914195718387,0.9690103323402726,0.9701883408044705,0.9666581555786188,0.976869642924048,0.9803921357546436,0.9815701442188416,0.9784259553055552,0.977642412025768,0.9772464089653947,0.9768573278545748,0.9729342123048321
6,5,CSVs/AvB.csv,StandardScaler,accuracy,0.9858808030034416,0.9717546689801146,0.9694001838967953,0.9709695848089217,0.9678323238760747,0.9701860415291342,0.9674393965676267,0.9686158731867481,0.9674401670133296,0.9678323238760747,0.9662636934096511,0.9807850721094209,0.9850964862625083,0.983527088365825,0.9799945918028647,0.9796032053858227,0.9768534816569467,0.9764613247942016,0.9713625121173696
7,5,CSVs/AvB.csv,MaxAbsScaler,accuracy,0.9784313544563613,0.9752886973881514,0.9737200669217279,0.9752887004035944,0.9717585151777426,0.9713678931755171,0.9721506690250447,0.9705843468802866,0.9709749658670692,0.9701914195718387,0.9709741954213664,0.9756916344598501,0.9788219643968146,0.9792179674571877,0.9756816246965994,0.9752887004035944,0.9760722436833819,0.9768588687459806,0.9748965405254063
8,5,CSVs/AvB.csv,RobustScaler,accuracy,0.9898016042006329,0.9788150424472611,0.9780291908458084,0.9780299612915112,0.9764605573639418,0.9784228825690731,0.9741068427263254,0.9756770110687114,0.9733225290008353,0.9741076131720282,0.9729272963861648,0.9901960754159296,0.9886228252907321,0.9874486600087191,0.9831287709529004,0.9854840234664796,0.9831280005071974,0.9839138551240934,0.9784228855845161
9,5,CSVs/AvB.csv,None,accuracy,0.9521491251181958,0.9293986038046299,0.9329295564607414,0.9301821470844172,0.9290079878332904,0.9274408982582726,0.9262675094528486,0.9246919630677579,0.9239107220787501,0.9235177977857452,0.9219499317341384,0.941168723915004,0.9317507896126129,0.9321390972622868,0.9329218670809283,0.9258615026601108,0.9278315081987258,0.9293962954829643,0.9305758448385679
10,5,CSVs/AvB.csv,MinMaxScaler,precision,0.9874774592261018,0.9795410392505983,0.9749233713264471,0.9770358193127631,0.9737540702298263,0.9762008825527208,0.9741352868152824,0.9757646739734984,0.9720615238908825,0.9741398170152046,0.970015947236314,0.9926002381095278,0.9862064578354964,0.9900472158661607,0.9828877524340734,0.9849899096270789,0.9812394370845313,0.9828862623655896,0.9774623724257119
11,5,CSVs/AvB.csv,StandardScaler,precision,0.9909236995435501,0.9774061034475258,0.9741239442630137,0.9761770536873069,0.9720424218505193,0.9753339504356473,0.9716456789537762,0.9736975357753893,0.9708355740538661,0.9716409880275542,0.9695992773658902,0.9943430898929619,0.9900513215507664,0.9921979620077443,0.9862220659989432,0.987931243980355,0.9829365086671956,0.9837873182866359,0.9769835325260393
12,5,CSVs/AvB.csv,MaxAbsScaler,precision,0.9870489199275425,0.9807583378312381,0.9774152628356584,0.979948223386268,0.9753722045306521,0.9765968582766054,0.9753759387457468,0.9761582659763368,0.9753675328824005,0.975760736585648,0.9749758786942987,0.9917244982077819,0.9849395208622566,0.9891822465270057,0.9824936203918476,0.9841632034208047,0.980757689103694,0.9832620238057022,0.9795133603983086
